segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
far,ir,ir/frame12.pgm,1,0.9219,72.5797,true,0.2205,0.2314,53.4329,46.3274,0.6097,85.5046,57.3
far,ir,ir/frame13.pgm,0,,,false,,,,,,,19.0
far,ir,ir/frame14.pgm,1,0.9250,72.4524,true,0.1821,0.1964,52.0698,46.0493,0.5776,80.9072,59.9
far,ir,ir/frame15.pgm,0,,,false,,,,,,,20.3
far,ir,ir/frame16.pgm,1,0.9251,73.4017,true,0.1643,0.2020,52.4351,46.2933,0.5837,84.1167,62.9
far,ir,ir/frame17.pgm,0,,,false,,,,,,,21.4
far,ir,ir/frame18.pgm,1,0.9264,72.9114,true,0.1764,0.2137,52.1399,46.0664,0.5647,80.6074,65.7
far,ir,ir/frame19.pgm,0,,,false,,,,,,,22.6
far,ir,ir/frame20.pgm,1,0.9259,72.5201,true,0.1933,0.2248,50.9882,46.0178,0.5740,79.7449,68.7
far,ir,ir/frame21.pgm,0,,,false,,,,,,,23.2
far,ir,ir/frame22.pgm,1,0.9259,71.6473,true,0.1758,0.2037,50.4052,45.9116,0.5687,78.7366,69.7
far,ir,ir/frame23.pgm,0,,,false,,,,,,,23.5
frontal,rgb,rgb/rgb00.ppm,1,0.9472,165.6610,true,0.2463,0.2757,117.7865,116.1880,0.9643,183.4617,146.7
frontal,rgb,rgb/rgb01.ppm,1,0.9457,166.7240,true,0.2572,0.2969,118.9035,115.7909,0.9534,180.6242,148.0
frontal,rgb,rgb/rgb02.ppm,1,0.9465,166.8455,true,0.2558,0.2946,118.4112,115.1565,0.9572,180.6821,147.4
frontal,rgb,rgb/rgb03.ppm,1,0.9445,168.2808,true,0.2698,0.3048,118.5107,113.5545,0.9530,180.9603,147.1
frontal,rgb,rgb/rgb04.ppm,1,0.9460,168.0846,true,0.2719,0.2982,119.0091,115.6977,0.9532,181.8516,147.1
frontal,rgb,rgb/rgb05.ppm,1,0.9440,167.6261,true,0.2765,0.3069,118.5692,115.8265,0.9477,181.0009,147.2
frontal,rgb,rgb/rgb06.ppm,1,0.9450,168.0137,true,0.2682,0.2985,118.8183,115.5515,0.9455,181.9135,147.2
frontal,rgb,rgb/rgb07.ppm,1,0.9436,167.0538,true,0.2656,0.2905,118.6507,113.9832,0.9439,182.9117,147.3
frontal,ir,ir/frame00.pgm,1,0.9350,146.9147,true,0.2216,0.2465,100.6267,96.5429,0.9384,153.1456,32.9
frontal,ir,ir/frame01.pgm,0,,,false,,,,,,,1.8
frontal,ir,ir/frame02.pgm,1,0.9349,147.0155,true,0.2154,0.2469,100.4763,95.8593,0.9388,153.2683,35.0
frontal,ir,ir/frame03.pgm,0,,,false,,,,,,,3.1
frontal,ir,ir/frame04.pgm,1,0.9366,146.2740,true,0.2027,0.2204,100.5905,96.0662,0.9434,154.5591,46.6
frontal,ir,ir/frame05.pgm,0,,,false,,,,,,,4.8
frontal,ir,ir/frame06.pgm,1,0.9386,148.1453,true,0.1937,0.2306,101.3019,96.1092,0.9439,155.8083,63.3
frontal,ir,ir/frame07.pgm,0,,,false,,,,,,,5.7
frontal,ir,ir/frame08.pgm,1,0.9388,147.3926,true,0.1876,0.2221,101.0092,96.0954,0.9481,155.1430,65.9
frontal,ir,ir/frame09.pgm,0,,,false,,,,,,,6.1
frontal,ir,ir/frame10.pgm,1,0.9395,146.9956,true,0.2076,0.2264,100.0640,95.9065,0.9485,154.7997,66.5
frontal,ir,ir/frame11.pgm,0,,,false,,,,,,,6.3
frontal,ir,ir/frame12.pgm,1,0.9392,146.5935,true,0.2202,0.2339,99.6678,95.3336,0.9484,155.1779,66.8
frontal,ir,ir/frame13.pgm,0,,,false,,,,,,,6.5
frontal,ir,ir/frame14.pgm,1,0.9386,146.6057,true,0.2149,0.2383,99.6395,95.4855,0.9493,154.6159,66.8
frontal,ir,ir/frame15.pgm,0,,,false,,,,,,,6.8
frontal,ir,ir/frame16.pgm,1,0.9392,146.7689,true,0.2054,0.2445,100.1414,95.9141,0.9476,154.0417,68.2
frontal,ir,ir/frame17.pgm,0,,,false,,,,,,,7.0
frontal,ir,ir/frame18.pgm,1,0.9396,146.9791,true,0.2095,0.2452,99.9279,95.6716,0.9488,153.5334,68.8
frontal,ir,ir/frame19.pgm,0,,,false,,,,,,,7.1
frontal,ir,ir/frame20.pgm,1,0.9384,147.3081,true,0.2017,0.2387,99.9656,96.0107,0.9480,154.0137,69.0
frontal,ir,ir/frame21.pgm,0,,,false,,,,,,,7.2
frontal,ir,ir/frame22.pgm,1,0.9377,147.3792,true,0.2110,0.2449,99.9164,95.6657,0.9491,153.7385,69.2
frontal,ir,ir/frame23.pgm,0,,,false,,,,,,,7.3
glasses-on,rgb,rgb/rgb00.ppm,1,0.9255,145.7153,true,0.2849,0.2983,104.3633,97.0215,0.9528,149.6913,170.5
glasses-on,rgb,rgb/rgb01.ppm,1,0.9258,150.4278,true,0.2723,0.2787,104.0710,97.2372,0.9531,145.5807,172.6
glasses-on,rgb,rgb/rgb02.ppm,1,0.9290,142.6061,true,0.3002,0.2908,103.6530,97.5674,0.9552,152.5993,166.0
glasses-on,rgb,rgb/rgb03.ppm,1,0.9253,141.9821,true,0.3106,0.2987,101.4098,97.1548,0.9536,150.9949,161.3
glasses-on,rgb,rgb/rgb04.ppm,1,0.9237,145.5878,true,0.3046,0.3105,100.9510,96.0548,0.9551,152.0590,161.5
glasses-on,rgb,rgb/rgb05.ppm,1,0.9280,148.5413,true,0.2870,0.3157,100.9173,95.9997,0.9505,150.2785,161.9
glasses-on,rgb,rgb/rgb06.ppm,1,0.9260,145.9341,true,0.2887,0.3098,100.9788,93.9149,0.9604,149.1808,162.6
glasses-on,rgb,rgb/rgb07.ppm,1,0.9283,146.4412,true,0.3055,0.3239,102.1402,95.7122,0.9542,147.9660,162.2
glasses-on,ir,ir/frame00.pgm,1,0.9250,121.8000,true,0.2052,0.1571,87.4714,81.5891,0.9272,129.5162,96.2
glasses-on,ir,ir/frame01.pgm,0,,,false,,,,,,,17.7
glasses-on,ir,ir/frame02.pgm,1,0.9258,120.5684,true,0.1983,0.1628,87.5522,81.4826,0.9257,130.3238,94.5
glasses-on,ir,ir/frame03.pgm,0,,,false,,,,,,,18.5
glasses-on,ir,ir/frame04.pgm,1,0.9239,120.5950,true,0.2091,0.1711,88.1692,81.4254,0.9239,130.8401,93.1
glasses-on,ir,ir/frame05.pgm,0,,,false,,,,,,,18.9
glasses-on,ir,ir/frame06.pgm,1,0.9219,120.8311,true,0.2158,0.1774,88.3862,81.6979,0.9226,130.6514,92.0
