camera,segment,kind,frame,onnx_score,native_score,score_delta,iou
zenbook,dim,ir,ir/frame22.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame23.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,rgb,rgb/rgb00.ppm,0.242720,0.242721,1.162e-6,0.999998
zenbook,empty-dim,rgb,rgb/rgb01.ppm,0.301003,0.301005,1.311e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb02.ppm,0.355223,0.355224,1.073e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb03.ppm,0.276951,0.276952,6.258e-7,0.999996
zenbook,empty-dim,rgb,rgb/rgb04.ppm,0.353737,0.353737,4.172e-7,0.999999
zenbook,empty-dim,rgb,rgb/rgb05.ppm,0.302813,0.302814,6.855e-7,0.999996
zenbook,empty-dim,rgb,rgb/rgb06.ppm,0.321365,0.321366,1.222e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb07.ppm,0.354057,0.354057,3.576e-7,0.999999
zenbook,empty-dim,ir,ir/frame00.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame01.pgm,0.032471,0.032471,1.378e-7,0.999999
zenbook,empty-dim,ir,ir/frame02.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame03.pgm,0.032520,0.032520,1.155e-7,0.999999
zenbook,empty-dim,ir,ir/frame04.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame05.pgm,0.032694,0.032694,1.490e-7,0.999999
zenbook,empty-dim,ir,ir/frame06.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame07.pgm,0.032642,0.032642,1.490e-7,0.999999
zenbook,empty-dim,ir,ir/frame08.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame09.pgm,0.032643,0.032643,1.229e-7,0.999999
zenbook,empty-dim,ir,ir/frame10.pgm,0.037124,0.037124,1.863e-8,0.999999
zenbook,empty-dim,ir,ir/frame11.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame12.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame13.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame14.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame15.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame16.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame17.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame18.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame19.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame20.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame21.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame22.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame23.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-lit,rgb,rgb/rgb00.ppm,0.431065,0.431065,2.086e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb01.ppm,0.141810,0.141810,1.490e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb02.ppm,0.189886,0.189886,7.451e-8,1.000000
zenbook,empty-lit,rgb,rgb/rgb03.ppm,0.324705,0.324705,0.000e0,1.000000
zenbook,empty-lit,rgb,rgb/rgb04.ppm,0.318590,0.318590,4.172e-7,1.000000
zenbook,empty-lit,rgb,rgb/rgb05.ppm,0.250127,0.250127,0.000e0,0.999998
zenbook,empty-lit,rgb,rgb/rgb06.ppm,0.179619,0.179618,2.384e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb07.ppm,0.298788,0.298789,5.662e-7,1.000000
zenbook,empty-lit,ir,ir/frame00.pgm,0.138998,0.138998,3.725e-7,0.999999
zenbook,empty-lit,ir,ir/frame01.pgm,0.354992,0.354992,1.192e-7,0.999999
zenbook,empty-lit,ir,ir/frame02.pgm,0.339457,0.339457,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame03.pgm,0.327902,0.327902,2.384e-7,0.999999
zenbook,empty-lit,ir,ir/frame04.pgm,0.203405,0.203405,1.192e-7,1.000000
zenbook,empty-lit,ir,ir/frame05.pgm,0.243692,0.243692,1.639e-7,1.000000
zenbook,empty-lit,ir,ir/frame06.pgm,0.307420,0.307420,8.941e-8,0.999999
zenbook,empty-lit,ir,ir/frame07.pgm,0.211698,0.211698,4.172e-7,0.999999
zenbook,empty-lit,ir,ir/frame08.pgm,0.294504,0.294504,0.000e0,1.000000
zenbook,empty-lit,ir,ir/frame09.pgm,0.376635,0.376635,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame10.pgm,0.302714,0.302714,2.682e-7,1.000000
zenbook,empty-lit,ir,ir/frame11.pgm,0.266199,0.266199,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame12.pgm,0.263238,0.263238,5.960e-8,1.000000
zenbook,empty-lit,ir,ir/frame13.pgm,0.263387,0.263387,0.000e0,0.999999
zenbook,empty-lit,ir,ir/frame14.pgm,0.292110,0.292110,2.980e-8,1.000000
zenbook,empty-lit,ir,ir/frame15.pgm,0.259193,0.259193,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame16.pgm,0.257873,0.257873,2.980e-8,1.000000
zenbook,empty-lit,ir,ir/frame17.pgm,0.197053,0.197053,1.490e-8,0.999999
zenbook,empty-lit,ir,ir/frame18.pgm,0.288347,0.288347,1.192e-7,1.000000
zenbook,empty-lit,ir,ir/frame19.pgm,0.232946,0.232946,8.941e-8,1.000000
zenbook,empty-lit,ir,ir/frame20.pgm,0.277897,0.277897,2.682e-7,1.000000
zenbook,empty-lit,ir,ir/frame21.pgm,0.230075,0.230076,3.129e-7,1.000000
zenbook,empty-lit,ir,ir/frame22.pgm,0.319398,0.319398,4.470e-7,1.000000
zenbook,empty-lit,ir,ir/frame23.pgm,0.226989,0.226990,4.470e-7,1.000000
zenbook,far,rgb,rgb/rgb00.ppm,0.663498,0.663498,5.960e-7,1.000000
zenbook,far,rgb,rgb/rgb01.ppm,0.708086,0.708086,5.960e-8,0.999999
zenbook,far,rgb,rgb/rgb02.ppm,0.776694,0.776694,1.192e-7,0.999998
zenbook,far,rgb,rgb/rgb03.ppm,0.690514,0.690514,2.384e-7,0.999998
zenbook,far,rgb,rgb/rgb04.ppm,0.730203,0.730203,2.384e-7,1.000000
zenbook,far,rgb,rgb/rgb05.ppm,0.654575,0.654575,5.960e-8,1.000000
zenbook,far,rgb,rgb/rgb06.ppm,0.732871,0.732871,5.960e-8,0.999999
zenbook,far,rgb,rgb/rgb07.ppm,0.740658,0.740658,2.980e-7,0.999999
zenbook,far,ir,ir/frame00.pgm,0.354405,0.354406,1.073e-6,0.999998
zenbook,far,ir,ir/frame01.pgm,0.324071,0.324071,1.192e-7,0.999999
zenbook,far,ir,ir/frame02.pgm,0.330660,0.330662,1.520e-6,0.999998
zenbook,far,ir,ir/frame03.pgm,0.228467,0.228467,1.490e-7,0.999999
zenbook,far,ir,ir/frame04.pgm,0.364278,0.364277,1.311e-6,0.999997
zenbook,far,ir,ir/frame05.pgm,0.208680,0.208681,4.619e-7,0.999999
zenbook,far,ir,ir/frame06.pgm,0.466331,0.466331,5.066e-7,0.999999
zenbook,far,ir,ir/frame07.pgm,0.279638,0.279637,5.364e-7,0.999999
zenbook,far,ir,ir/frame08.pgm,0.536578,0.536578,2.980e-7,0.999999
zenbook,far,ir,ir/frame09.pgm,0.283062,0.283062,0.000e0,0.999999
zenbook,far,ir,ir/frame10.pgm,0.537560,0.537561,9.537e-7,0.999999
zenbook,far,ir,ir/frame11.pgm,0.323720,0.323722,1.431e-6,0.999999
zenbook,far,ir,ir/frame12.pgm,0.609650,0.609650,6.557e-7,0.999999
zenbook,far,ir,ir/frame13.pgm,0.321629,0.321629,7.451e-7,0.999999
zenbook,far,ir,ir/frame14.pgm,0.577618,0.577618,0.000e0,0.999998
zenbook,far,ir,ir/frame15.pgm,0.342782,0.342784,1.609e-6,0.999999
zenbook,far,ir,ir/frame16.pgm,0.583698,0.583698,4.768e-7,0.999999
zenbook,far,ir,ir/frame17.pgm,0.340092,0.340092,1.490e-7,0.999999
zenbook,far,ir,ir/frame18.pgm,0.564676,0.564675,4.172e-7,1.000000
zenbook,far,ir,ir/frame19.pgm,0.344795,0.344795,1.192e-7,0.999999
zenbook,far,ir,ir/frame20.pgm,0.574045,0.574045,7.749e-7,0.999997
zenbook,far,ir,ir/frame21.pgm,0.350446,0.350446,2.980e-7,0.999999
zenbook,far,ir,ir/frame22.pgm,0.568686,0.568687,7.749e-7,0.999999
zenbook,far,ir,ir/frame23.pgm,0.366967,0.366967,4.470e-7,0.999998
zenbook,frontal,rgb,rgb/rgb00.ppm,0.964287,0.964287,0.000e0,1.000000
zenbook,frontal,rgb,rgb/rgb01.ppm,0.953432,0.953432,0.000e0,1.000000
zenbook,frontal,rgb,rgb/rgb02.ppm,0.957164,0.957164,0.000e0,1.000000
zenbook,frontal,rgb,rgb/rgb03.ppm,0.953041,0.953041,0.000e0,0.999999
zenbook,frontal,rgb,rgb/rgb04.ppm,0.953242,0.953242,0.000e0,1.000000
zenbook,frontal,rgb,rgb/rgb05.ppm,0.947733,0.947733,0.000e0,0.999999
zenbook,frontal,rgb,rgb/rgb06.ppm,0.945504,0.945504,0.000e0,1.000000
zenbook,frontal,rgb,rgb/rgb07.ppm,0.943949,0.943949,5.960e-8,0.999999
zenbook,frontal,ir,ir/frame00.pgm,0.938432,0.938432,0.000e0,1.000000
zenbook,frontal,ir,ir/frame01.pgm,0.147150,0.147149,3.278e-7,0.999999
zenbook,frontal,ir,ir/frame02.pgm,0.938784,0.938785,5.960e-8,1.000000
zenbook,frontal,ir,ir/frame03.pgm,0.272414,0.272414,5.960e-8,0.999998
zenbook,frontal,ir,ir/frame04.pgm,0.943373,0.943373,0.000e0,1.000000
zenbook,frontal,ir,ir/frame05.pgm,0.477757,0.477756,9.835e-7,0.999998
zenbook,frontal,ir,ir/frame06.pgm,0.943856,0.943856,0.000e0,1.000000
zenbook,frontal,ir,ir/frame07.pgm,0.482711,0.482710,1.192e-7,0.999999
zenbook,frontal,ir,ir/frame08.pgm,0.948070,0.948070,0.000e0,1.000000
zenbook,frontal,ir,ir/frame09.pgm,0.468446,0.468445,2.980e-7,0.999999
zenbook,frontal,ir,ir/frame10.pgm,0.948465,0.948465,0.000e0,1.000000
zenbook,frontal,ir,ir/frame11.pgm,0.453173,0.453173,2.682e-7,0.999999
zenbook,frontal,ir,ir/frame12.pgm,0.948398,0.948398,0.000e0,0.999999
zenbook,frontal,ir,ir/frame13.pgm,0.434739,0.434739,1.192e-7,0.999999
zenbook,frontal,ir,ir/frame14.pgm,0.949315,0.949315,0.000e0,1.000000
zenbook,frontal,ir,ir/frame15.pgm,0.416357,0.416357,1.788e-7,0.999998
zenbook,frontal,ir,ir/frame16.pgm,0.947646,0.947646,1.192e-7,1.000000
zenbook,frontal,ir,ir/frame17.pgm,0.393934,0.393935,1.013e-6,0.999999
zenbook,frontal,ir,ir/frame18.pgm,0.948835,0.948835,0.000e0,1.000000
zenbook,frontal,ir,ir/frame19.pgm,0.378495,0.378494,2.980e-7,1.000000
zenbook,frontal,ir,ir/frame20.pgm,0.948048,0.948048,1.192e-7,0.999999
zenbook,frontal,ir,ir/frame21.pgm,0.363477,0.363478,6.855e-7,1.000000
zenbook,frontal,ir,ir/frame22.pgm,0.949051,0.949051,0.000e0,1.000000
zenbook,frontal,ir,ir/frame23.pgm,0.374209,0.374209,2.980e-8,0.999999
zenbook,glasses-on,rgb,rgb/rgb00.ppm,0.952844,0.952844,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb01.ppm,0.953097,0.953097,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb02.ppm,0.955249,0.955249,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb03.ppm,0.953646,0.953646,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb04.ppm,0.955092,0.955092,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb05.ppm,0.950521,0.950522,1.192e-7,1.000000
zenbook,glasses-on,rgb,rgb/rgb06.ppm,0.960370,0.960370,0.000e0,1.000000
zenbook,glasses-on,rgb,rgb/rgb07.ppm,0.954240,0.954240,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame00.pgm,0.927231,0.927231,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame01.pgm,0.312405,0.312405,2.980e-7,0.999999
zenbook,glasses-on,ir,ir/frame02.pgm,0.925724,0.925724,1.192e-7,1.000000
zenbook,glasses-on,ir,ir/frame03.pgm,0.281072,0.281072,4.470e-7,1.000000
zenbook,glasses-on,ir,ir/frame04.pgm,0.923932,0.923932,5.960e-8,1.000000
zenbook,glasses-on,ir,ir/frame05.pgm,0.279945,0.279944,3.576e-7,0.999999
zenbook,glasses-on,ir,ir/frame06.pgm,0.922648,0.922648,1.192e-7,1.000000
zenbook,glasses-on,ir,ir/frame07.pgm,0.283335,0.283335,1.192e-7,0.999998
zenbook,glasses-on,ir,ir/frame08.pgm,0.924045,0.924045,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame09.pgm,0.277076,0.277076,2.086e-7,1.000000
zenbook,glasses-on,ir,ir/frame10.pgm,0.943378,0.943378,5.960e-8,1.000000
zenbook,glasses-on,ir,ir/frame11.pgm,0.285445,0.285445,5.960e-8,0.999999
zenbook,glasses-on,ir,ir/frame12.pgm,0.935672,0.935672,1.192e-7,1.000000
zenbook,glasses-on,ir,ir/frame13.pgm,0.304534,0.304534,2.384e-7,0.999999
zenbook,glasses-on,ir,ir/frame14.pgm,0.941309,0.941309,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame15.pgm,0.298315,0.298316,3.874e-7,0.999999
zenbook,glasses-on,ir,ir/frame16.pgm,0.945948,0.945948,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame17.pgm,0.286136,0.286137,2.384e-7,1.000000
zenbook,glasses-on,ir,ir/frame18.pgm,0.950141,0.950141,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame19.pgm,0.285253,0.285253,8.941e-8,0.999999
zenbook,glasses-on,ir,ir/frame20.pgm,0.948382,0.948382,0.000e0,0.999999
zenbook,glasses-on,ir,ir/frame21.pgm,0.269170,0.269170,5.960e-8,0.999999
zenbook,glasses-on,ir,ir/frame22.pgm,0.940236,0.940236,0.000e0,1.000000
zenbook,glasses-on,ir,ir/frame23.pgm,0.268226,0.268227,2.384e-7,0.999999
zenbook,sweep,rgb,rgb/rgb00.ppm,0.962726,0.962726,0.000e0,1.000000
zenbook,sweep,rgb,rgb/rgb01.ppm,0.958403,0.958403,0.000e0,1.000000
zenbook,sweep,rgb,rgb/rgb02.ppm,0.957103,0.957103,0.000e0,1.000000
zenbook,sweep,rgb,rgb/rgb03.ppm,0.930077,0.930077,0.000e0,1.000000
zenbook,sweep,rgb,rgb/rgb04.ppm,0.961040,0.961040,1.192e-7,1.000000
zenbook,sweep,rgb,rgb/rgb05.ppm,0.956786,0.956786,0.000e0,1.000000
zenbook,sweep,rgb,rgb/rgb06.ppm,0.966667,0.966667,0.000e0,0.999999
zenbook,sweep,rgb,rgb/rgb07.ppm,0.942041,0.942041,0.000e0,1.000000
zenbook,sweep,ir,ir/frame00.pgm,0.885969,0.885969,5.960e-8,0.999999
zenbook,sweep,ir,ir/frame01.pgm,0.470572,0.470571,9.537e-7,0.999999
zenbook,sweep,ir,ir/frame02.pgm,0.892777,0.892777,0.000e0,0.999999
zenbook,sweep,ir,ir/frame03.pgm,0.437758,0.437758,1.490e-7,0.999999
zenbook,sweep,ir,ir/frame04.pgm,0.892186,0.892186,0.000e0,1.000000
zenbook,sweep,ir,ir/frame05.pgm,0.431412,0.431412,2.384e-7,1.000000
zenbook,sweep,ir,ir/frame06.pgm,0.920513,0.920513,0.000e0,1.000000
zenbook,sweep,ir,ir/frame07.pgm,0.420494,0.420494,1.490e-7,1.000000
zenbook,sweep,ir,ir/frame08.pgm,0.924565,0.924565,0.000e0,0.999999
zenbook,sweep,ir,ir/frame09.pgm,0.383021,0.383022,2.980e-7,0.999999
zenbook,sweep,ir,ir/frame10.pgm,0.936981,0.936981,0.000e0,1.000000
zenbook,sweep,ir,ir/frame11.pgm,0.354406,0.354406,2.384e-7,1.000000
zenbook,sweep,ir,ir/frame12.pgm,0.947756,0.947756,0.000e0,1.000000
zenbook,sweep,ir,ir/frame13.pgm,0.361959,0.361959,2.086e-7,0.999999
zenbook,sweep,ir,ir/frame14.pgm,0.952735,0.952735,0.000e0,1.000000
zenbook,sweep,ir,ir/frame15.pgm,0.357356,0.357356,2.086e-7,1.000000
zenbook,sweep,ir,ir/frame16.pgm,0.956499,0.956499,0.000e0,1.000000
zenbook,sweep,ir,ir/frame17.pgm,0.361843,0.361843,3.576e-7,0.999999
zenbook,sweep,ir,ir/frame18.pgm,0.949145,0.949145,1.192e-7,1.000000
zenbook,sweep,ir,ir/frame19.pgm,0.343862,0.343862,2.980e-8,0.999999
zenbook,sweep,ir,ir/frame20.pgm,0.942077,0.942077,0.000e0,1.000000
zenbook,sweep,ir,ir/frame21.pgm,0.361120,0.361120,3.874e-7,0.999999
zenbook,sweep,ir,ir/frame22.pgm,0.954263,0.954263,0.000e0,1.000000
zenbook,sweep,ir,ir/frame23.pgm,0.348355,0.348355,2.980e-7,0.999999
nexigo,close,rgb,rgb/rgb00.ppm,0.933800,0.933800,5.960e-8,1.000000
nexigo,close,rgb,rgb/rgb01.ppm,0.946337,0.946337,1.192e-7,1.000000
nexigo,close,rgb,rgb/rgb02.ppm,0.952651,0.952651,0.000e0,1.000000
nexigo,close,rgb,rgb/rgb03.ppm,0.953858,0.953858,5.960e-8,1.000000
nexigo,close,rgb,rgb/rgb04.ppm,0.961160,0.961160,1.192e-7,0.999999
nexigo,close,rgb,rgb/rgb05.ppm,0.948053,0.948053,0.000e0,1.000000
nexigo,close,rgb,rgb/rgb06.ppm,0.946555,0.946555,0.000e0,1.000000
nexigo,close,rgb,rgb/rgb07.ppm,0.953029,0.953029,1.192e-7,1.000000
nexigo,close,ir,ir/frame00.pgm,0.304024,0.304024,1.788e-7,0.999999
nexigo,close,ir,ir/frame01.pgm,0.772153,0.772153,1.192e-7,1.000000
nexigo,close,ir,ir/frame02.pgm,0.321122,0.321123,8.941e-7,0.999999
nexigo,close,ir,ir/frame03.pgm,0.758959,0.758959,2.980e-7,0.999999
nexigo,close,ir,ir/frame04.pgm,0.330759,0.330759,2.086e-7,0.999997
nexigo,close,ir,ir/frame05.pgm,0.726812,0.726812,5.960e-8,1.000000
nexigo,close,ir,ir/frame06.pgm,0.338911,0.338912,7.749e-7,0.999999
nexigo,close,ir,ir/frame07.pgm,0.736294,0.736294,2.980e-7,0.999999
nexigo,close,ir,ir/frame08.pgm,0.343294,0.343295,4.172e-7,0.999998
nexigo,close,ir,ir/frame09.pgm,0.737494,0.737494,5.960e-8,1.000000
nexigo,close,ir,ir/frame10.pgm,0.341822,0.341822,7.153e-7,0.999997
nexigo,close,ir,ir/frame11.pgm,0.765688,0.765688,2.384e-7,0.999999
nexigo,close,ir,ir/frame12.pgm,0.340354,0.340355,3.874e-7,0.999999
nexigo,close,ir,ir/frame13.pgm,0.756588,0.756589,1.788e-7,1.000000
nexigo,close,ir,ir/frame14.pgm,0.310423,0.310423,2.980e-7,0.999997
nexigo,close,ir,ir/frame15.pgm,0.825034,0.825034,1.788e-7,1.000000
nexigo,close,ir,ir/frame16.pgm,0.282189,0.282188,9.537e-7,0.999999
nexigo,close,ir,ir/frame17.pgm,0.886325,0.886325,5.960e-8,1.000000
nexigo,close,ir,ir/frame18.pgm,0.244786,0.244785,5.215e-7,0.999999
nexigo,close,ir,ir/frame19.pgm,0.901007,0.901007,0.000e0,0.999999
nexigo,close,ir,ir/frame20.pgm,0.243641,0.243640,1.162e-6,0.999999
nexigo,close,ir,ir/frame21.pgm,0.927915,0.927915,5.960e-8,1.000000
nexigo,close,ir,ir/frame22.pgm,0.245362,0.245360,1.848e-6,0.999999
nexigo,close,ir,ir/frame23.pgm,0.944717,0.944717,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb00.ppm,0.942293,0.942293,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb01.ppm,0.940122,0.940122,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb02.ppm,0.949136,0.949136,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb03.ppm,0.939929,0.939929,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb04.ppm,0.920167,0.920167,0.000e0,0.999999
nexigo,dusk,rgb,rgb/rgb05.ppm,0.923519,0.923519,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb06.ppm,0.934090,0.934090,0.000e0,1.000000
nexigo,dusk,rgb,rgb/rgb07.ppm,0.920445,0.920445,0.000e0,1.000000
nexigo,dusk,ir,ir/frame00.pgm,0.594086,0.594086,4.172e-7,0.999999
nexigo,dusk,ir,ir/frame01.pgm,0.935727,0.935727,0.000e0,0.999999
nexigo,dusk,ir,ir/frame02.pgm,0.595231,0.595230,4.768e-7,0.999999
nexigo,dusk,ir,ir/frame03.pgm,0.936787,0.936787,0.000e0,1.000000
nexigo,dusk,ir,ir/frame04.pgm,0.418266,0.418266,4.172e-7,0.999999
nexigo,dusk,ir,ir/frame05.pgm,0.947052,0.947052,5.960e-8,1.000000
nexigo,dusk,ir,ir/frame06.pgm,0.416529,0.416528,1.222e-6,0.999999
